TS,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
2024-05-19 08:30:47.059286,0,0,1,0,0,0,82,83,10,0,64,131.29,245,-1.00,-3.00,-997.00
2024-05-19 08:30:47.063141,0,0,1,0,0,0,82,83,10,0,64,131.33,245,0.00,-3.00,-997.00
2024-05-19 08:30:47.263987,0,0,1,0,0,0,82,83,10,0,64,131.25,245,-1.00,-1.00,-1002.00
2024-05-19 08:30:47.267123,0,0,1,0,0,0,82,83,10,0,64,131.25,245,-3.00,-3.00,-999.00
2024-05-19 08:30:47.369277,0,0,1,0,0,0,82,83,10,0,64,131.23,245,-1.00,-3.00,-1000.00
2024-05-19 08:30:47.471005,0,0,1,0,0,0,82,83,10,0,64,131.32,245,0.00,-2.00,-1000.00
2024-05-19 08:30:47.573303,0,0,1,0,0,0,82,83,10,0,64,131.34,245,0.00,-3.00,-1000.00
2024-05-19 08:30:47.675272,0,0,1,0,0,0,82,83,10,0,64,131.26,245,-1.00,-3.00,-1000.00
2024-05-19 08:30:47.878416,0,0,1,0,0,0,81,84,10,0,64,131.35,245,0.00,-2.00,-998.00
2024-05-19 08:30:47.879084,0,0,1,0,0,0,81,84,10,0,64,131.31,245,0.00,-2.00,-1002.00
2024-05-19 08:30:47.981112,0,0,1,0,0,0,81,84,10,0,64,131.26,245,0.00,-4.00,-1000.00
2024-05-19 08:30:48.083675,0,0,1,0,0,0,81,84,10,0,64,131.29,245,0.00,-3.00,-1000.00
2024-05-19 08:30:48.185287,0,0,1,0,0,0,81,84,10,0,64,131.26,245,-1.00,-4.00,-999.00
2024-05-19 08:30:48.287870,0,0,1,0,0,0,81,84,10,0,64,131.28,245,-1.00,-4.00,-1001.00
2024-05-19 08:30:48.390269,0,0,1,0,0,0,81,84,10,0,64,131.28,245,0.00,-3.00,-1000.00
2024-05-19 08:30:48.492763,0,0,1,0,0,0,81,84,10,0,64,131.30,245,-1.00,-2.00,-1002.00
2024-05-19 08:30:48.595785,0,0,1,0,0,0,81,84,10,0,64,131.29,245,-2.00,-3.00,-998.00
2024-05-19 08:30:48.697726,0,0,1,0,0,0,81,84,10,0,64,131.31,245,-1.00,-4.00,-999.00
2024-05-19 08:30:48.798116,0,0,1,0,0,0,81,84,10,0,64,131.29,245,-1.00,-2.00,-998.00
2024-05-19 08:30:48.902376,0,0,1,0,0,0,81,84,10,0,64,131.32,245,-4.00,-3.00,-1001.00
2024-05-19 08:30:49.002151,0,0,1,0,0,0,81,84,10,0,64,131.27,245,-2.00,-3.00,-1000.00
2024-05-19 08:30:49.107650,0,0,1,0,0,0,81,84,10,0,64,131.29,245,-1.00,-3.00,-998.00
2024-05-19 08:30:49.206111,0,0,1,0,0,0,81,84,10,0,64,131.31,245,-2.00,-3.00,-999.00
2024-05-19 08:30:49.311940,0,0,1,0,0,0,81,84,10,0,64,131.32,245,-1.00,-1.00,-1000.00
2024-05-19 08:30:49.410150,0,0,1,0,0,0,81,84,10,0,64,131.32,245,0.00,-2.00,-998.00
2024-05-19 08:30:49.513440,0,0,1,0,0,0,81,84,10,0,64,131.26,245,-1.00,-1.00,-1000.00
2024-05-19 08:30:49.613968,0,0,1,0,0,0,81,84,10,0,64,131.29,245,-1.00,-2.00,-999.00
2024-05-19 08:30:49.721619,0,0,1,0,0,0,81,84,10,0,64,131.32,245,0.00,-3.00,-1003.00
2024-05-19 08:30:49.818002,0,0,1,0,0,0,82,84,10,0,64,131.30,245,-2.00,-4.00,-1000.00
