TS,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
2025-08-07T15:48:38.576702,0,0,9,0,0,0,85,87,10,0,47,146.45,0,19.00,0.00,-1008.00
2025-08-07T15:48:38.679951,0,0,9,0,0,0,85,87,10,0,47,146.55,0,18.00,-2.00,-995.00
2025-08-07T15:48:38.780855,0,0,9,0,0,0,85,87,10,0,47,146.47,0,18.00,0.00,-999.00
2025-08-07T15:48:38.884669,0,0,9,0,0,0,85,87,10,0,47,146.39,0,18.00,1.00,-997.00
2025-08-07T15:48:38.984875,0,0,9,0,0,0,85,87,10,0,47,146.31,0,17.00,0.00,-992.00
2025-08-07T15:48:39.086853,0,0,9,0,0,0,85,87,10,0,47,146.36,0,16.00,-1.00,-982.00
2025-08-07T15:48:39.188843,0,0,9,0,0,0,85,87,10,0,47,145.95,0,17.00,0.00,-993.00
2025-08-07T15:48:39.290775,0,0,9,0,0,0,85,87,10,0,47,146.07,0,18.00,-1.00,-996.00
2025-08-07T15:48:39.394448,0,0,9,0,0,0,85,87,10,0,47,146.50,0,19.00,0.00,-999.00
2025-08-07T15:48:39.444473,0,0,9,0,0,0,85,87,10,0,47,146.18,0,17.00,-2.00,-995.00
2025-08-07T15:48:39.548149,0,0,9,0,0,0,85,87,10,0,47,146.44,0,18.00,0.00,-998.00
2025-08-07T15:48:39.650506,0,0,9,0,0,0,85,87,10,0,47,146.49,0,17.00,0.00,-990.00
2025-08-07T15:48:39.751527,0,0,9,0,0,0,85,87,10,0,47,146.41,0,18.00,0.00,-1001.00
2025-08-07T15:48:39.853644,0,0,9,0,0,0,85,87,10,0,47,145.98,0,16.00,0.00,-1003.00
2025-08-07T15:48:39.961518,0,0,9,0,0,0,84,87,10,0,47,146.23,0,19.00,0.00,-1003.00
2025-08-07T15:48:40.055796,0,0,9,0,0,0,84,87,10,0,47,146.22,0,17.00,1.00,-999.00
2025-08-07T15:48:40.160947,0,0,9,0,0,0,84,87,10,0,47,146.12,0,17.00,1.00,-996.00
2025-08-07T15:48:40.260122,0,0,9,0,0,0,84,87,10,0,47,146.57,0,16.00,0.00,-991.00
2025-08-07T15:48:40.362192,0,0,9,0,0,0,84,87,10,0,47,146.07,0,18.00,0.00,-996.00
2025-08-07T15:48:40.463655,0,0,9,0,0,0,84,87,10,0,47,146.21,0,19.00,0.00,-1004.00
2025-08-07T15:48:40.565788,0,0,9,0,0,0,84,87,10,0,47,146.50,0,19.00,-1.00,-1002.00
2025-08-07T15:48:40.667644,0,0,9,0,0,0,84,87,10,0,47,146.35,0,18.00,0.00,-999.00
2025-08-07T15:48:40.769786,0,0,9,0,0,0,84,87,10,0,47,146.32,0,18.00,-1.00,-1002.00
2025-08-07T15:48:40.871634,0,0,9,0,0,0,84,87,10,0,47,146.37,0,19.00,-6.00,-996.00
2025-08-07T15:48:40.973942,0,0,9,0,0,0,85,87,10,0,47,146.43,0,8.00,23.00,-1032.00
2025-08-07T15:48:41.075663,0,1,8,0,0,0,85,87,10,0,47,146.43,0,57.00,97.00,-1351.00
2025-08-07T15:48:41.177736,1,4,8,0,0,-3,85,87,10,0,47,146.50,0,-150.00,35.00,-1010.00
2025-08-07T15:48:41.280359,4,7,5,-1,1,-4,85,87,10,0,47,146.44,0,177.00,69.00,-1113.00
2025-08-07T15:48:41.382306,4,10,6,-1,3,-4,85,87,10,0,47,146.41,0,306.00,254.00,-803.00
2025-08-07T15:48:41.483975,7,15,12,0,7,-2,85,87,10,0,47,146.60,0,238.00,134.00,-480.00
2025-08-07T15:48:41.585673,6,12,24,1,11,1,85,87,10,0,47,146.58,0,-16.00,-68.00,-504.00
2025-08-07T15:48:41.687575,9,0,36,0,11,6,85,87,37,0,47,146.29,0,-100.00,-216.00,-878.00
2025-08-07T15:48:41.789669,12,-15,45,0,7,8,85,87,10,0,47,146.47,0,-23.00,-132.00,-1213.00
2025-08-07T15:48:41.891291,9,-22,48,1,1,7,85,87,10,-10,47,146.13,0,-204.00,172.00,-1121.00
2025-08-07T15:48:41.993491,0,-21,48,1,-2,6,84,87,10,-20,47,146.43,0,-310.00,406.00,-1226.00
2025-08-07T15:48:42.095780,-3,-23,44,1,-2,4,84,87,10,-20,47,146.07,0,-50.00,502.00,-1289.00
2025-08-07T15:48:42.197244,-3,-15,45,2,-2,2,84,87,42,-30,47,146.19,0,-205.00,181.00,-850.00
2025-08-07T15:48:42.299490,-2,-13,40,2,-2,3,84,87,46,-30,47,146.12,0,116.00,374.00,-1011.00
2025-08-07T15:48:42.401226,-5,-9,32,3,-1,4,84,87,46,-30,47,146.08,0,-21.00,150.00,-881.00
2025-08-07T15:48:42.503261,-2,-5,21,2,0,4,84,87,41,-40,47,145.90,0,-142.00,376.00,-768.00
2025-08-07T15:48:42.605237,6,-15,15,0,0,3,84,87,38,0,47,145.81,0,76.00,270.00,-1266.00
