TS,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
2025-08-07T12:46:05.612724,0,0,100,0,0,0,71,73,10,0,58,134.01,0,-6.00,4.00,-999.00
2025-08-07T12:46:05.715788,0,0,100,0,0,0,71,73,10,0,58,134.24,0,-7.00,2.00,-999.00
2025-08-07T12:46:05.818052,0,0,100,0,0,0,71,73,10,0,58,134.28,0,-6.00,2.00,-994.00
2025-08-07T12:46:05.918822,0,0,100,0,0,0,71,73,10,0,58,133.81,0,-4.00,2.00,-993.00
2025-08-07T12:46:06.020913,0,0,100,0,0,0,71,73,10,0,58,133.95,0,-4.00,3.00,-996.00
2025-08-07T12:46:06.122804,0,0,100,0,0,0,71,73,10,0,58,134.20,0,-3.00,4.00,-996.00
2025-08-07T12:46:06.224025,0,0,100,0,0,0,71,73,10,0,58,134.35,0,-4.00,4.00,-1002.00
2025-08-07T12:46:06.326083,0,0,100,0,0,0,71,73,10,0,58,134.15,0,-7.00,3.00,-999.00
2025-08-07T12:46:06.428511,0,0,100,0,0,0,71,73,10,0,58,133.92,0,-6.00,2.00,-998.00
2025-08-07T12:46:06.530219,0,0,100,0,0,0,70,73,10,0,58,134.22,0,-6.00,1.00,-996.00
2025-08-07T12:46:06.632122,0,0,100,0,0,0,70,73,10,0,58,133.87,0,-5.00,4.00,-1001.00
2025-08-07T12:46:06.734476,0,0,100,0,0,0,70,73,10,0,58,134.43,0,-6.00,4.00,-1003.00
2025-08-07T12:46:06.836115,0,0,100,0,0,0,70,73,10,0,58,134.04,0,-7.00,2.00,-1003.00
2025-08-07T12:46:06.938190,0,0,100,0,0,0,70,73,10,0,58,134.22,0,-6.00,3.00,-1000.00
2025-08-07T12:46:07.039969,0,0,100,0,0,0,70,73,10,0,58,134.27,0,-6.00,1.00,-985.00
2025-08-07T12:46:07.141882,0,0,100,0,0,0,70,73,10,0,58,134.11,0,-7.00,0.00,-1004.00
2025-08-07T12:46:07.243919,0,0,100,0,0,0,70,73,10,0,58,134.48,0,-4.00,2.00,-1008.00
2025-08-07T12:46:07.346019,0,0,100,0,0,0,70,73,10,0,58,134.39,0,-5.00,3.00,-1000.00
2025-08-07T12:46:07.447857,0,0,100,0,0,0,70,73,10,0,58,133.97,0,-4.00,1.00,-998.00
2025-08-07T12:46:07.550611,0,0,100,0,0,0,71,72,10,0,58,133.98,0,-4.00,1.00,-999.00
2025-08-07T12:46:07.652479,0,0,100,0,0,0,71,72,10,0,58,134.15,0,-64.00,-86.00,-1043.00
2025-08-07T12:46:07.754742,0,0,100,0,0,0,71,72,10,0,58,134.12,0,-21.00,-14.00,-1002.00
2025-08-07T12:46:07.856193,0,0,100,0,0,0,71,72,10,0,58,133.92,0,241.00,57.00,-1143.00
2025-08-07T12:46:07.959301,-1,-1,99,0,1,-1,71,72,10,0,58,134.27,0,-156.00,-44.00,-1232.00
2025-08-07T12:46:08.010307,-4,0,94,2,0,-3,71,72,10,0,58,134.07,0,191.00,-234.00,-858.00
2025-08-07T12:46:08.118363,-6,0,96,4,2,-2,71,72,10,0,58,134.15,0,34.00,124.00,-902.00
2025-08-07T12:46:08.214761,-3,0,97,3,3,0,71,72,10,0,58,134.14,0,-92.00,89.00,-679.00
2025-08-07T12:46:08.316752,-3,0,90,3,3,1,71,72,10,0,58,134.36,0,28.00,-86.00,-868.00
2025-08-07T12:46:08.418272,-1,2,86,4,4,3,71,72,75,0,58,134.06,0,-90.00,-18.00,-974.00
2025-08-07T12:46:08.519804,0,5,80,4,3,3,70,73,74,0,58,134.15,0,-150.00,-41.00,-886.00
2025-08-07T12:46:08.621669,-1,11,75,3,2,4,70,73,70,0,58,134.32,0,-197.00,-335.00,-984.00
2025-08-07T12:46:08.723601,0,15,75,1,1,4,70,73,70,0,58,134.08,0,-55.00,-18.00,-969.00
2025-08-07T12:46:08.825528,-2,16,74,0,1,5,70,73,67,-10,58,134.23,0,32.00,-329.00,-1088.00
2025-08-07T12:46:08.927550,1,15,77,0,0,5,70,73,64,-10,58,133.87,0,-18.00,-303.00,-892.00
2025-08-07T12:46:09.029555,6,17,80,0,0,5,70,73,60,-20,58,133.83,0,135.00,30.00,-763.00
2025-08-07T12:46:09.131846,8,17,81,0,0,6,70,73,54,-30,58,133.79,0,6.00,-443.00,-969.00
2025-08-07T12:46:09.233640,8,18,85,0,-1,6,70,73,50,-40,58,133.88,0,293.00,-256.00,-888.00
2025-08-07T12:46:09.335632,7,18,81,0,0,6,70,73,45,-40,58,133.52,0,61.00,-396.00,-1046.00
2025-08-07T12:46:09.437848,6,17,81,0,0,5,70,73,41,-50,58,133.54,0,212.00,-450.00,-988.00
2025-08-07T12:46:09.540306,7,16,78,0,0,4,71,72,38,-50,58,133.53,0,159.00,-423.00,-985.00
2025-08-07T12:46:09.641583,9,18,81,1,0,4,71,72,37,-60,58,133.56,0,96.00,-329.00,-1006.00
2025-08-07T12:46:09.743797,9,19,80,1,0,3,71,72,35,-60,58,133.23,0,164.00,-338.00,-923.00
2025-08-07T12:46:09.851153,9,20,77,0,0,3,71,72,33,-60,58,133.61,0,143.00,-346.00,-902.00
2025-08-07T12:46:09.947595,12,18,77,0,0,3,71,72,31,-70,58,133.74,0,135.00,-370.00,-956.00
2025-08-07T12:46:10.049587,12,16,73,0,0,3,71,72,10,0,58,133.56,0,250.00,-343.00,-954.00
