TS,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
2025-08-07T18:46:08.907245,71.57,29.63,30994.62,-13.36,-7.41,34.10,33.41,33.41,51.00,139.43,0.00,996.62,893.09,-0.77,0.65,-10.04
2025-08-07T18:46:09.121407,71.26,29.57,31001.96,-14.52,-5.15,34.27,33.41,33.41,36.00,139.43,0.00,996.62,893.30,-0.31,0.22,-10.17
2025-08-07T18:46:09.335522,71.74,29.80,31009.46,-13.36,-9.00,35.08,33.41,33.41,47.00,139.46,0.00,996.61,893.52,-0.20,-0.25,-10.41
2025-08-07T18:46:09.549317,71.74,29.49,31016.67,-15.24,-6.46,33.69,33.41,33.41,36.00,139.46,0.00,996.61,893.73,-0.68,1.09,-10.26
2025-08-07T18:46:09.763385,71.24,29.87,31024.20,-11.91,-4.07,35.19,33.41,33.41,50.00,139.44,0.00,996.61,893.94,-0.78,1.16,-10.28
2025-08-07T18:46:09.977324,71.18,29.93,31031.32,-14.17,-5.91,33.26,33.41,33.41,36.00,139.44,0.00,996.61,894.16,-1.12,-0.23,-10.31
2025-08-07T18:46:10.191236,70.88,29.98,31038.43,-13.92,-5.09,33.23,33.41,33.41,51.00,139.44,0.00,996.61,894.37,-0.48,0.25,-10.31
2025-08-07T18:46:10.841171,71.20,30.14,31060.86,-13.30,-7.58,33.78,33.41,33.41,35.00,139.44,0.00,996.61,895.01,-1.24,0.84,-10.13
2025-08-07T18:46:11.055214,70.99,30.17,31068.42,-14.25,-5.29,35.35,33.41,33.41,50.00,139.46,0.00,996.61,895.23,-0.95,-0.23,-10.01
2025-08-07T18:46:11.261399,71.48,30.31,31076.06,-13.39,-8.57,35.71,33.41,33.41,36.00,139.46,0.00,996.61,895.44,-1.05,0.49,-10.58
2025-08-07T18:46:11.478474,71.46,30.24,31083.56,-14.14,-5.96,35.03,33.41,33.41,50.00,139.46,0.00,996.61,895.66,-1.36,0.87,-10.24
2025-08-07T18:46:11.697262,71.77,30.44,31090.65,-12.98,-7.87,33.13,33.41,33.41,37.00,139.44,0.00,996.61,895.87,-0.83,0.68,-10.08
2025-08-07T18:46:11.904545,71.79,30.33,31098.22,-14.21,-6.31,35.35,33.41,33.41,52.00,139.44,0.00,996.61,896.08,-1.15,1.07,-10.11
2025-08-07T18:46:12.117243,71.89,30.89,31105.51,-11.71,-7.03,34.09,33.41,33.41,37.00,139.46,0.00,996.61,896.30,-0.58,-0.21,-10.50
2025-08-07T18:46:12.330661,71.83,31.09,31112.84,-12.81,-6.83,34.23,33.41,33.41,49.00,139.46,0.00,996.61,896.51,0.49,0.82,-10.16
2025-08-07T18:46:12.547405,72.30,31.21,31120.03,-13.59,-9.07,33.60,33.41,33.41,36.00,139.46,0.00,996.61,896.72,-0.04,0.10,-10.12
2025-08-07T18:46:12.767345,72.67,31.27,31127.69,-13.65,-8.26,35.80,33.40,33.40,48.00,139.48,0.00,996.61,896.94,-0.74,0.44,-10.17
2025-08-07T18:46:12.973237,73.97,29.98,31133.05,-19.24,-12.26,25.06,33.40,33.40,38.00,139.48,0.00,996.61,897.15,-1.58,1.97,-9.41
2025-08-07T18:46:13.187441,73.56,30.50,31140.70,-11.89,-4.52,35.75,33.40,33.40,59.00,139.48,0.00,996.61,897.37,-1.08,-0.17,-10.32
2025-08-07T18:46:13.409026,68.59,34.65,31145.11,5.17,17.58,20.61,33.40,33.40,41.00,139.50,0.00,996.61,897.58,-1.65,-0.64,-10.07
2025-08-07T18:46:13.615080,69.63,39.18,31146.91,8.58,-11.00,8.41,33.40,33.40,0.00,139.50,0.00,996.61,897.79,-0.98,1.54,-10.02
2025-08-07T18:46:13.828947,84.67,37.98,31148.41,-19.67,-76.69,7.00,33.40,33.40,32.00,139.50,0.00,996.61,898.01,-3.04,-0.93,-9.71
2025-08-07T18:46:14.051066,83.16,39.51,31153.73,-6.31,1.40,24.87,33.40,33.40,131.00,139.47,0.00,996.61,898.22,-4.42,-0.18,-9.98
2025-08-07T18:46:14.256811,-87.35,42.74,31160.32,1.97,-50.83,30.81,33.40,33.40,622.00,139.47,0.00,996.61,898.44,-4.16,-0.01,-9.02
2025-08-07T18:46:14.470864,-85.84,42.14,31167.24,-15.74,-12.58,32.32,33.40,33.40,259.00,139.46,0.00,996.61,898.65,-6.00,0.40,-8.26
2025-08-07T18:46:14.685138,83.97,38.74,31178.22,-29.30,43.03,51.32,33.40,33.40,262.00,139.46,0.00,996.61,898.86,-6.61,0.10,-9.14
2025-08-07T18:46:14.900178,75.49,41.52,31190.10,-1.60,35.26,55.49,33.40,33.40,259.00,139.46,0.00,996.61,899.08,-5.01,-2.50,-8.41
2025-08-07T18:46:15.121143,71.21,43.14,31202.35,-6.18,15.57,57.25,33.40,33.40,351.00,139.47,0.00,996.61,899.29,-3.72,-1.13,-7.87
2025-08-07T18:46:15.335314,69.84,45.63,31201.11,-1.60,1.66,-5.79,33.40,33.40,406.00,139.47,0.00,996.61,899.51,-3.21,-0.79,-8.83
2025-08-07T18:46:15.540954,64.81,44.77,31202.00,-17.62,18.21,4.15,33.40,33.40,535.00,139.47,0.00,996.61,899.72,-1.67,-1.31,-10.29
2025-08-07T18:46:15.755166,64.17,49.00,31204.09,6.64,-1.78,9.77,33.40,33.40,805.00,139.46,0.00,996.61,899.93,-2.77,-1.32,-10.70
2025-08-07T18:46:15.978637,69.70,52.02,31209.54,0.78,-31.29,25.48,33.40,33.40,738.00,139.46,0.00,996.61,900.15,-2.63,-2.44,-11.34
