TS,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
2025-08-07T18:42:06.443977,71.76,38.03,22597.90,-15.51,-6.86,35.39,33.06,33.06,14.00,140.44,0.00,996.49,650.61,-0.11,1.14,-10.19
2025-08-07T18:42:06.665784,72.22,37.85,22605.07,-13.97,-8.80,33.52,33.06,33.06,16.00,140.42,0.00,996.50,650.82,-0.43,0.85,-10.25
2025-08-07T18:42:06.871020,72.07,37.82,22612.51,-13.33,-5.79,34.74,33.06,33.06,16.00,140.42,0.00,996.50,651.03,-0.77,0.64,-10.34
2025-08-07T18:42:07.087174,72.08,37.84,22619.98,-12.54,-6.66,34.93,33.06,33.06,14.00,140.42,0.00,996.50,651.25,-0.50,1.83,-10.22
2025-08-07T18:42:07.297106,72.37,37.81,22627.20,-13.56,-8.48,33.74,33.06,33.06,15.00,140.42,0.00,996.50,651.46,0.48,0.23,-10.46
2025-08-07T18:42:07.513058,72.48,37.76,22634.55,-13.24,-6.95,34.35,33.06,33.06,16.00,140.42,0.00,996.50,651.68,-0.95,1.11,-10.21
2025-08-07T18:42:07.730387,76.01,37.96,22641.81,-12.26,-22.87,33.95,33.06,33.06,14.00,140.45,0.00,996.49,651.89,-1.52,0.58,-9.49
2025-08-07T18:42:07.940951,74.11,37.95,22648.84,-13.44,2.65,32.82,33.06,33.06,16.00,140.45,0.00,996.49,652.10,-1.60,0.32,-10.38
2025-08-07T18:42:08.155021,74.83,37.52,22656.50,-15.30,-9.93,35.78,33.06,33.06,15.00,140.45,0.00,996.49,652.32,-1.08,0.52,-9.99
2025-08-07T18:42:08.591112,76.09,37.88,22676.02,-10.37,-14.03,60.19,33.06,33.06,15.00,140.44,0.00,996.50,652.75,-0.56,-0.33,-10.59
2025-08-07T18:42:08.796938,72.30,37.48,22686.21,-15.10,11.51,47.61,33.06,33.06,7.00,140.44,0.00,996.50,652.96,-1.36,0.62,-10.17
2025-08-07T18:42:09.011021,72.07,39.89,22693.52,-2.15,-4.87,34.13,33.07,33.07,74.00,140.42,0.00,996.50,653.17,-1.70,-0.12,-10.35
2025-08-07T18:42:09.225092,72.23,40.04,22703.64,-12.38,-6.97,47.32,33.07,33.07,136.00,140.42,0.00,996.50,653.39,-1.20,0.49,-9.83
2025-08-07T18:42:09.438880,73.79,40.40,22712.30,-11.50,-13.35,40.44,33.07,33.07,144.00,140.45,0.00,996.49,653.60,-1.87,0.23,-10.20
2025-08-07T18:42:09.662247,72.79,37.76,22723.39,-26.05,-1.18,51.86,33.07,33.07,248.00,140.45,0.00,996.49,653.82,-1.97,-0.25,-9.66
2025-08-07T18:42:10.080843,71.55,43.68,22747.38,-1.42,-5.91,60.93,33.07,33.07,479.00,140.43,0.00,996.50,654.24,-1.51,-0.87,-9.73
2025-08-07T18:42:10.302842,64.86,50.10,22755.46,17.02,25.81,37.72,33.07,33.07,439.00,140.43,0.00,996.50,654.46,-1.40,-1.07,-10.43
2025-08-07T18:42:10.509315,67.50,54.97,22758.11,9.85,-18.75,12.38,33.07,33.07,910.00,140.43,0.00,996.50,654.67,-0.11,-1.89,-10.19
2025-08-07T18:42:10.723113,69.04,56.68,22761.61,-4.87,-13.24,16.39,33.07,33.07,880.00,140.46,0.00,996.49,654.89,-0.83,-1.78,-8.69
2025-08-07T18:42:10.936794,71.42,48.50,22761.97,-51.83,-18.28,1.69,33.07,33.07,807.00,140.46,0.00,996.49,655.10,0.62,-1.91,-9.76
2025-08-07T18:42:11.159455,73.57,42.33,22769.52,-42.96,-16.54,35.26,33.06,33.06,711.00,140.45,0.00,996.49,655.31,-0.99,-2.01,-10.49
2025-08-07T18:42:11.364782,71.67,36.01,22772.47,-43.24,3.32,13.77,33.06,33.06,580.00,140.45,0.00,996.49,655.53,-2.51,0.08,-10.47
2025-08-07T18:42:11.593871,75.69,37.28,22774.89,-7.48,-25.62,11.34,33.06,33.06,515.00,140.45,0.00,996.49,655.74,-0.83,0.40,-11.06
2025-08-07T18:42:11.792741,78.29,36.96,22786.76,-14.54,-18.83,55.46,33.07,33.07,466.00,140.39,0.00,996.50,655.96,-1.57,1.18,-11.00
2025-08-07T18:42:12.007812,74.56,38.04,22796.52,-9.34,11.19,45.60,33.07,33.07,441.00,140.39,0.00,996.50,656.17,-1.46,-1.36,-8.75
2025-08-07T18:42:12.220731,74.91,40.28,22801.43,-3.21,-8.31,22.96,33.07,33.07,410.00,140.39,0.00,996.50,656.38,-0.81,-0.61,-9.77
2025-08-07T18:42:12.441220,76.07,41.70,22806.18,-6.43,-11.82,22.18,33.07,33.07,396.00,140.36,0.00,996.50,656.60,-1.58,0.23,-9.82
2025-08-07T18:42:12.648916,78.28,43.50,22814.36,-4.12,-16.54,38.24,33.07,33.07,377.00,140.36,0.00,996.50,656.81,-2.29,0.88,-9.98
2025-08-07T18:42:12.872132,78.10,42.74,22826.28,-16.57,-5.91,55.71,33.07,33.07,359.00,140.36,0.00,996.50,657.03,-1.34,0.12,-10.30
2025-08-07T18:42:13.084795,77.69,42.67,22838.62,-13.48,-4.57,57.66,33.07,33.07,334.00,140.32,0.00,996.51,657.24,-1.81,-0.11,-10.51
2025-08-07T18:42:13.302150,77.67,43.85,22847.61,-7.91,-6.19,42.01,33.07,33.07,337.00,140.32,0.00,996.51,657.45,-2.12,-0.85,-10.09
2025-08-07T18:42:13.514549,80.66,47.78,22852.64,5.36,-20.81,23.49,33.07,33.07,339.00,140.30,0.00,996.51,657.67,-1.51,-0.71,-9.90
2025-08-07T18:42:13.718587,83.68,50.91,22857.92,2.38,-20.94,24.65,33.07,33.07,342.00,140.30,0.00,996.51,657.88,-2.27,0.12,-10.56
2025-08-07T18:42:13.942333,83.74,50.09,22863.18,-16.40,-7.59,24.59,33.07,33.07,353.00,140.30,0.00,996.51,658.10,-1.43,-0.32,-11.10
2025-08-07T18:42:14.146505,82.30,45.32,22871.52,-34.49,-0.05,38.99,33.07,33.07,373.00,140.27,0.00,996.52,658.31,-1.89,1.12,-9.68
2025-08-07T18:42:14.361952,82.81,45.19,22879.51,-13.60,-9.71,37.32,33.07,33.07,399.00,140.27,0.00,996.52,658.52,-1.10,-0.27,-10.03
2025-08-07T18:42:14.574467,84.93,48.58,22885.07,3.08,-17.10,25.98,33.07,33.07,397.00,140.27,0.00,996.52,658.74,-1.56,-0.34,-9.42
2025-08-07T18:42:14.796594,86.32,52.79,22889.81,6.96,-13.45,22.15,33.07,33.07,384.00,140.27,0.00,996.52,658.95,-2.46,-1.17,-10.62
2025-08-07T18:42:15.002635,86.09,54.52,22895.62,-4.61,-5.76,27.13,33.07,33.07,377.00,140.27,0.00,996.52,659.17,-2.71,-1.50,-10.41
2025-08-07T18:42:15.217564,85.14,51.35,22903.95,-26.64,-2.45,38.93,33.07,33.07,380.00,140.27,0.00,996.52,659.38,-2.56,0.98,-10.71
2025-08-07T18:42:15.438387,82.78,45.47,22913.01,-39.94,4.27,42.38,33.08,33.08,391.00,140.21,0.00,996.52,659.59,-2.08,0.65,-10.04
2025-08-07T18:42:15.645131,83.08,46.85,22921.03,-6.92,-8.05,37.46,33.08,33.08,404.00,140.21,0.00,996.52,659.81,-2.23,-1.19,-9.32
2025-08-07T18:42:15.859205,85.96,51.63,22927.30,9.48,-20.54,29.29,33.09,33.09,398.00,140.18,0.00,996.53,660.02,-2.18,-1.14,-10.18
2025-08-07T18:42:16.073587,88.11,53.36,22930.02,-4.26,-17.38,12.68,33.09,33.09,387.00,140.18,0.00,996.53,660.24,-2.04,-0.54,-10.50
2025-08-07T18:42:16.299107,88.46,54.73,22934.64,-6.05,-8.75,21.60,33.09,33.09,383.00,140.18,0.00,996.53,660.45,-2.60,-1.02,-10.33
2025-08-07T18:42:16.500359,87.47,53.82,22940.93,-16.87,-2.52,29.42,33.10,33.10,383.00,140.16,0.00,996.53,660.66,-2.16,-1.04,-9.88
