TS,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
2025-08-06T19:20:30.650681,0,-1,14,0,0,0,84,85,10,0,27,141.77,0,7.00,26.00,-993.00
2025-08-06T19:20:30.853692,0,-1,14,0,0,0,84,86,10,0,27,141.77,0,5.00,30.00,-1003.00
2025-08-06T19:20:30.854334,0,-1,14,0,0,0,84,86,10,0,27,141.85,0,5.00,29.00,-1003.00
2025-08-06T19:20:31.059218,0,-1,14,0,0,0,84,86,10,0,27,141.67,0,4.00,29.00,-1004.00
2025-08-06T19:20:31.059387,0,-1,14,0,0,0,84,86,10,0,27,141.71,0,4.00,29.00,-987.00
2025-08-06T19:20:31.161668,0,-1,14,0,0,0,84,86,10,0,27,141.74,0,4.00,31.00,-1005.00
2025-08-06T19:20:31.263458,0,-1,14,0,0,0,84,86,10,0,27,141.57,0,3.00,29.00,-1000.00
2025-08-06T19:20:31.364970,0,-1,14,0,0,0,84,86,10,0,27,142.00,0,4.00,29.00,-1005.00
2025-08-06T19:20:31.467286,0,-1,14,0,0,0,84,86,10,0,27,141.71,0,4.00,30.00,-1005.00
2025-08-06T19:20:31.569672,0,-1,14,0,0,0,84,86,10,0,27,141.85,0,3.00,28.00,-1004.00
2025-08-06T19:20:31.672240,0,-1,14,0,0,0,84,86,10,0,27,141.77,0,4.00,30.00,-1003.00
2025-08-06T19:20:31.776196,0,-1,14,0,0,0,83,85,10,0,27,141.67,0,2.00,30.00,-1000.00
2025-08-06T19:20:31.876046,0,-1,14,0,0,0,83,85,10,0,27,141.58,0,5.00,29.00,-1003.00
2025-08-06T19:20:31.977958,0,-1,14,0,0,0,83,85,10,0,27,141.84,0,4.00,28.00,-995.00
2025-08-06T19:20:32.079175,0,-1,14,0,0,0,83,85,10,0,27,141.69,0,3.00,28.00,-1001.00
2025-08-06T19:20:32.181003,0,-1,14,0,0,0,83,85,10,0,27,141.75,0,2.00,26.00,-986.00
2025-08-06T19:20:32.286705,0,-1,14,0,0,0,83,85,10,0,27,141.61,0,1.00,32.00,-1013.00
2025-08-06T19:20:32.334192,0,-1,14,0,0,0,83,85,10,0,27,141.62,0,3.00,32.00,-1032.00
2025-08-06T19:20:32.491813,0,-1,14,0,0,0,83,85,10,0,27,141.60,0,2.00,29.00,-1004.00
2025-08-06T19:20:32.538175,0,-1,14,0,0,0,83,85,10,0,27,141.65,0,3.00,27.00,-992.00
2025-08-06T19:20:32.696302,0,-1,14,0,0,0,83,85,10,0,27,141.78,0,3.00,29.00,-1000.00
2025-08-06T19:20:32.741990,0,-1,14,0,0,0,84,86,10,0,27,141.99,0,2.00,30.00,-1014.00
2025-08-06T19:20:32.875514,0,-2,13,0,0,0,84,86,10,0,27,141.92,0,4.00,28.00,-1000.00
2025-08-06T19:20:32.946868,3,-4,12,0,-2,-4,84,86,10,0,27,141.88,0,-141.00,-145.00,-1422.00
2025-08-06T19:20:33.106450,0,-9,4,0,-6,-5,84,86,10,0,27,141.95,0,314.00,66.00,-1315.00
2025-08-06T19:20:33.150192,-7,-8,7,-3,-9,-2,84,86,44,0,27,142.18,0,-264.00,85.00,-519.00
